,ID,Name,Season,Last_ep,Aired on
0,1520211,The Walking Dead,10,,
0,2467372,Brooklyn Nine-Nine,7,,
0,3526078,Schitt's Creek,6,,
0,2861424,Rick and Morty,4,,
0,8531222,Dave,1,,
0,475784,Westworld,3,,
0,3032476,Better Call Saul,5,,
